1_7,3,7.072,46.288,Coat -Coat a 6-oz. ramekin cup with cooking spray,False
1_7,1,50.264,82.31,Pour-Pour 1 egg into the ramekin cup,False
1_7,4,92.60499999999999,135.293,Microwave-Microwave the ramekin cup uncovered on high for 30 seconds,False
1_7,12,136.004,185.49099999999999,Cut -Cut the English muffin into two pieces with a knife,False
1_7,11,197.26,224.69400000000002,stir-stir the ramekin cup,False
1_7,8,225.06900000000002,305.248,Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set,False
1_7,6,313.233,347.534,Top -Top cup with 1 tablespoon of salsa,False
1_7,5,359.299,421.415,sprinkle -sprinkle 1 tablespoon of cheese on cup,False
1_7,10,424.715,482.251,Microwave -Microwave just until cheese melts about 10 seconds,False
1_7,9,500.174,567.261,Line -Line the bottom piece of the English muffin with lettuce,False
1_7,2,568.444,587.236,Place -Place the egg from the cup over the lettuce,False
1_7,7,587.915,592.802,replace -replace the top of the English muffin,False
1_10,3,11.749052505026611,46.436731329390895,Coat -Coat a 6-oz. ramekin cup with cooking spray,False
1_10,1,49.51386412832644,87.83815444234182,Pour-Pour 1 egg into the ramekin cup,False
1_10,4,-1.0,-1.0,Microwave-Microwave the ramekin cup uncovered on high for 30 seconds,False
1_10,11,91.4747659319929,136.22623827837478,stir-stir the ramekin cup,False
1_10,8,138.19123660674157,227.42808777587226,Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set,False
1_10,6,228.82678450266116,273.86481910526317,Top -Top cup with 1 tablespoon of salsa,False
1_10,12,276.10273386812537,324.7773799603785,Cut -Cut the English muffin into two pieces with a knife,False
1_10,5,330.6519062128918,367.77536421512747,sprinkle -sprinkle 1 tablespoon of cheese on cup,False
1_10,10,372.89254736191606,406.4612688048492,Microwave -Microwave just until cheese melts, about 10 seconds,False
1_10,9,412.0560557120047,432.7567672684802,Line -Line the bottom piece of the English muffin with lettuce,False
1_10,2,433.3162459591957,461.5699198403312,Place -Place the egg from the cup over the lettuce,False
1_10,7,462.10210688759724,469.4582485670554,replace -replace the top of the English muffin,False
1_14,12,0.799,87.74,Cut -Cut the English muffin into two pieces with a knife,False
1_14,3,93.5002075103489,120.33434778237728,Coat -Coat a 6-oz. ramekin cup with cooking spray,False
1_14,1,125.3657490833826,192.0318163217031,Pour-Pour 1 egg into the ramekin cup,False
1_14,4,200.417485156712,247.79651407451212,Microwave-Microwave the ramekin cup uncovered on high for 30 seconds,False
1_14,11,252.82791537551745,285.49209207569487,stir-stir the ramekin cup,False
1_14,8,290.5273669004071,337.41851752198846,Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set,False
1_14,6,344.8223834096065,424.1495179198004,Top -Top cup with 1 tablespoon of salsa,False
1_14,9,428.38029842701076,484.0855751052803,Line -Line the bottom piece of the English muffin with lettuce,False
1_14,5,487.25866048568804,572.2268356721625,sprinkle -sprinkle 1 tablespoon of cheese on cup,False
1_14,10,578.5730064329779,654.3744905204966,Microwave -Microwave just until cheese melts, about 10 seconds,False
1_14,2,684.3425191132366,693.5092102121923,Place -Place the egg from the cup over the lettuce,False
