1,Microwave Egg Sandwich,45.54390389329182
2,Dressed Up Meatballs,66.91085257233202
3,Microwave Mug Pizza,41.24282271838121
4,Ramen,39.693997521764686
5,Coffee,52.961903209238464
7,Breakfast Burritos,52.252380242072846
8,Spiced Hot Chocolate,60.09654202663701
9,Microwave French Toast,52.371404919837154
10,Pinwheels,24.82506419864133
12,Tomato Mozzarella Salad,21.30240604509276
13,Butter Corn Cup,47.766123249129784
15,Tomato Chutney,62.4880803886387
16,Scrambled Eggs,53.24550931788182
17,Cucumber Raita,59.89281423644779
18,Zoodles,61.99368376535398
20,Sauted Mushrooms,73.81208185622418
21,Blender Banana Pancakes,48.05597324296189
22,Herb Omelet with Fried Tomatoes,50.696473864796744
23,Broccoli Stir Fry,64.10942204715487
25,Pan Fried Tofu,54.87848706942985
26,Mug Cake,47.57507348062673
27,Cheese Pimiento,54.540675254027185
28,Spicy Tuna Avocado Wraps,52.874685275100944
29,Caprese Bruschetta,77.64264036218185

=============================================================================
Average,52.78220836488524,5300
=============================================================================
